cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,synthetic_feat_1,synthetic_feat_2,synthetic_feat_3,synthetic_feat_4,synthetic_feat_5
x,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,class_1,high,low,low,high,low
f,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,class_1,medium,low,high,medium,low
x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,class_3,low,medium,low,high,medium
x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,medium,medium,low,high,low
f,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,class_1,medium,high,medium,high,high
x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,class_1,low,high,low,low,low
f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,medium,high,high,high,low
x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,class_2,medium,high,low,medium,high
x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,class_2,medium,medium,low,medium,low
x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,medium,low,medium,low,medium
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,class_2,high,medium,medium,low,medium
x,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,class_2,medium,high,high,medium,medium
f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,class_2,medium,high,medium,low,low
x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,class_1,low,medium,high,low,low
f,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,class_1,high,medium,high,high,low
f,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,class_1,low,high,medium,high,medium
x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,class_1,low,low,low,low,low
x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,low,high,medium,medium,high
x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,class_2,high,medium,low,high,low
x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,class_4,low,high,low,medium,medium
x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,class_2,low,high,high,low,high
x,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,class_1,low,low,high,medium,high
x,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,class_1,medium,high,medium,medium,medium
f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,class_1,low,high,low,medium,high
f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,class_2,high,high,medium,medium,high
f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,class_1,high,medium,high,low,high
f,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,medium,medium,low,low,high
x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,class_2,high,low,medium,high,high
x,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,class_2,high,high,medium,high,low
x,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,class_1,medium,medium,high,high,medium
x,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,class_1,low,low,high,high,medium
f,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,class_1,medium,high,high,medium,low
x,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,class_1,low,low,high,high,low
x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,class_1,low,low,medium,high,medium
x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,class_1,high,low,high,medium,medium
x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,class_2,medium,low,high,low,low
x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,class_2,high,low,medium,high,low
f,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,class_2,high,low,medium,low,high
x,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,class_1,low,low,low,high,low
x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,class_2,high,high,medium,low,low
f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,medium,high,low,high,high
x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,class_1,high,low,high,low,high
f,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,class_2,high,high,low,low,medium
x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,class_1,low,low,low,high,medium
x,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,class_1,medium,high,high,low,low
x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,class_2,high,medium,high,high,high
f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,class_2,low,low,high,high,high
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,class_2,high,medium,low,medium,medium
x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,class_1,medium,low,medium,high,medium
x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,high,low,medium,high,low
x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,class_2,high,medium,medium,high,high
x,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,class_1,low,medium,high,high,medium
x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,high,medium,high,medium,low
x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,class_2,low,low,medium,medium,low
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,class_4,medium,medium,high,medium,low
x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,class_1,high,medium,low,medium,medium
x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,class_1,medium,high,low,low,medium
x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,class_1,medium,high,high,high,medium
x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,class_3,high,medium,medium,medium,medium
x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,low,medium,medium,high,medium
x,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,class_1,medium,medium,low,medium,high
x,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,class_1,medium,medium,high,high,high
x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,high,high,medium,low,high
x,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,class_2,high,low,medium,medium,high
f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,class_2,high,medium,high,low,low
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,class_1,high,medium,high,low,low
x,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,class_1,high,high,medium,high,high
x,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,class_1,high,medium,high,medium,medium
x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,class_2,low,medium,high,low,high
x,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,class_2,medium,high,high,high,high
x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,class_1,low,medium,medium,high,low
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,class_4,low,medium,low,high,medium
f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,class_2,high,high,high,low,low
x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,class_2,medium,low,medium,high,medium
x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,class_1,low,medium,low,high,low
x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,class_2,high,medium,medium,high,high
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,class_2,high,low,medium,low,medium
x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,class_1,medium,high,medium,high,low
x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,class_1,low,low,low,low,high
f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,low,medium,medium,high,low
x,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,class_2,low,low,low,low,low
x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,high,high,high,low,low
x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,medium,medium,low,medium,high
f,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,medium,high,medium,medium,medium
x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,class_2,low,high,low,medium,low
f,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,class_2,high,low,medium,low,high
f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,class_2,low,low,high,high,low
x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,class_1,medium,high,low,high,medium
x,s,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,class_4,high,high,high,low,low
f,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,low,medium,low,high,high
f,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,low,high,medium,low,low
f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,class_2,high,high,low,high,low
x,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,class_1,medium,low,high,low,medium
x,f,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,class_2,high,high,low,medium,medium
f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,class_2,low,high,high,medium,medium
x,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,low,low,high,high,low
x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,class_1,low,medium,medium,high,high
f,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,class_2,low,low,low,high,low
f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,class_2,medium,low,high,high,low
x,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,class_2,medium,high,medium,medium,low
x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,class_1,low,high,medium,medium,low
x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,class_2,medium,medium,medium,low,medium
x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,medium,high,high,high,medium
x,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,class_1,medium,medium,low,medium,medium
x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,class_2,low,medium,high,low,medium
f,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,high,medium,medium,low,high
x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,class_2,high,medium,high,low,low
x,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,high,high,high,medium,low
x,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,low,low,medium,low,low
x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,class_4,medium,low,low,high,high
f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,class_2,medium,high,medium,low,high
x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,class_1,low,high,medium,low,medium
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,class_3,low,medium,high,medium,low
x,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,class_2,high,high,medium,low,low
x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,class_2,high,low,high,medium,high
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,class_3,low,high,medium,medium,low
x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,class_3,high,high,medium,high,high
x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,class_1,medium,medium,low,low,medium
f,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,class_1,low,medium,medium,high,high
x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,class_2,low,medium,low,high,low
x,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,medium,medium,medium,low,high
x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,class_1,medium,low,medium,low,high
f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,class_2,medium,high,medium,medium,medium
x,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d,class_1,high,high,low,low,low
x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,class_2,low,medium,high,medium,low
x,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,class_1,high,low,low,high,medium
x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,medium,low,medium,high,high
f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,class_1,high,high,high,medium,high
f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,class_1,medium,medium,medium,low,low
f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,class_2,high,high,low,low,high
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,class_1,high,high,low,medium,medium
x,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,class_2,medium,low,high,high,low
x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,high,low,low,medium,high
f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,class_1,low,high,medium,low,medium
x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,high,medium,high,low,medium
x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,class_2,high,medium,medium,medium,low
x,f,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,class_4,low,high,high,low,low
f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,medium,high,high,high,high
x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,low,medium,medium,medium,high
x,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,class_1,high,medium,low,high,high
f,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,class_2,medium,medium,medium,high,medium
x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,high,high,low,medium,medium
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,class_4,high,low,low,medium,high
x,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,low,medium,medium,low,low
f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,class_2,low,medium,high,low,medium
f,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,class_1,medium,medium,medium,medium,medium
x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,class_2,medium,high,high,medium,high
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,class_3,medium,low,low,low,low
x,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,class_1,high,low,high,low,medium
x,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,class_1,low,medium,medium,low,low
x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,class_1,low,high,high,medium,medium
x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,class_2,low,low,low,medium,low
x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,class_1,medium,high,low,low,low
x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,class_1,low,low,high,high,medium
x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,class_2,low,medium,low,high,low
x,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,low,high,low,low,medium
x,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,class_2,medium,medium,high,medium,medium
x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,class_1,low,low,low,medium,low
f,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,class_2,medium,low,high,high,medium
f,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,class_2,low,medium,high,low,low
f,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,class_1,low,low,low,high,medium
x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,class_2,low,medium,high,high,low
x,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,class_2,medium,medium,low,low,medium
x,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,medium,medium,low,high,medium
f,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,class_2,low,low,low,medium,high
f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,class_1,high,high,medium,high,medium
x,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,class_2,medium,medium,low,low,medium
x,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,medium,high,high,medium,low
f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,class_1,low,low,high,medium,low
f,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,class_2,high,low,high,high,low
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,class_3,low,high,medium,medium,low
x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,class_2,medium,medium,medium,low,high
x,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,class_1,medium,low,high,high,high
x,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,class_1,low,medium,high,medium,low
x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,low,medium,medium,low,low
x,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,class_1,high,high,high,high,low
f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,class_2,high,low,low,low,low
f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,class_1,medium,high,low,medium,medium
x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,high,low,high,high,low
x,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,class_1,high,high,low,high,medium
f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,class_1,medium,low,high,medium,low
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,class_3,medium,low,medium,low,high
x,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,medium,low,high,medium,high
f,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,class_1,medium,medium,medium,high,low
x,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,low,medium,low,high,high
x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,class_2,medium,high,low,medium,high
x,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,class_2,medium,high,low,low,high
f,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,medium,low,high,medium,high
f,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,class_2,high,low,medium,low,medium
x,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,class_2,medium,medium,medium,low,medium
f,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,class_2,low,medium,low,high,medium
x,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,class_2,low,medium,low,low,medium
x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,class_2,medium,high,medium,high,low
x,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,class_1,low,medium,high,low,high
x,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,class_1,high,high,low,low,high
x,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,class_1,medium,medium,high,high,low
f,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,class_1,low,medium,low,low,low
x,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,class_1,low,low,low,medium,medium
x,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,class_2,medium,high,high,low,medium
f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,class_2,low,medium,high,high,high
x,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,class_2,medium,low,high,high,low
x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,class_2,low,high,high,medium,high
x,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,class_2,high,high,medium,low,low
x,f,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,class_4,low,medium,medium,medium,medium
f,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,class_2,low,high,low,low,high
x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,class_1,medium,low,low,medium,high
f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,class_1,low,low,low,high,low
f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,class_1,medium,high,medium,high,high
x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,class_1,high,low,high,medium,medium
f,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,class_2,medium,high,low,low,high
x,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d,class_2,medium,low,medium,low,low
f,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,low,high,low,high,high
x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,class_1,high,high,medium,low,medium
x,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,medium,high,high,medium,low
f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,class_2,low,low,medium,medium,low
x,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,class_2,low,high,high,low,medium
f,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,class_1,medium,high,low,high,low
x,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,class_2,low,medium,high,high,low
x,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,class_1,medium,medium,medium,high,high
f,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,class_1,medium,high,low,high,low
x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,class_1,medium,medium,low,high,high
x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,class_1,high,high,medium,medium,medium
f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,class_2,medium,medium,high,low,medium
f,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,class_1,low,low,medium,medium,medium
x,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,class_1,high,low,high,high,medium
x,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,class_2,low,high,high,high,low
f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,class_2,high,high,low,low,low
x,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,class_1,high,low,high,low,high
x,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,class_2,high,low,low,low,high
f,y,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,class_1,high,medium,medium,medium,high
x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,class_1,low,high,medium,low,low
